run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,88,25,100,100,125,25,2,28,38,26,6,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,89,25,100,100,125,25,3,25,25,36,11,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,90,25,100,100,125,25,1,31,27,29,12,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,91,25,100,100,125,25,1,30,31,31,7,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,92,25,100,100,125,25,2,24,39,26,9,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,93,25,100,100,125,25,0,21,34,36,9,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,94,25,100,100,125,25,1,26,34,33,6,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,95,25,100,100,125,25,0,32,29,30,9,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,96,25,100,100,125,25,2,29,32,33,4,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,97,25,100,100,125,25,1,31,24,30,14,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,98,25,100,100,125,25,1,31,32,28,8,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,99,25,100,100,125,25,1,33,21,35,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,0,25,100,100,200,25,2,28,24,36,10,0.11703703703703702,1.7016684540172793,1.6961223983448275,1.7930211810490442
1,2,1,25,100,100,125,25,2,29,27,28,14,0.13777777777777778,1.7125479687301357,1.701786452511371,1.7930211810490442
1,2,2,25,100,100,125,25,1,27,25,39,8,0.1511111111111111,1.7267211132636187,1.7208295764399273,1.7930211810490442
1,2,3,25,100,100,125,25,1,26,26,36,11,0.1688888888888889,1.7501718544074143,1.7449135703982224,1.7930211810490442
1,2,4,25,100,100,125,25,2,30,26,29,13,0.18666666666666665,1.7615439367520236,1.7536774315007007,1.7930211810490442
1,2,5,25,100,100,125,25,1,31,31,28,9,0.2,1.777972995120246,1.780322157984996,1.7988759124215248
1,2,6,25,100,100,125,25,0,31,26,33,10,0.21037037037037035,1.7952419670827322,1.7955914854158035,1.812528792139151
1,2,7,25,100,100,125,25,3,28,31,27,11,0.21037037037037037,1.8064245752156822,1.8026525359014334,1.8638800655227354
1,2,8,25,100,100,125,25,1,42,30,13,14,0.21925925925925924,1.8100615648516571,1.802896843778889,1.8638800655227354
1,2,9,25,100,100,125,25,1,35,35,24,5,0.22666666666666666,1.8203354415304178,1.8127798660321872,1.8638800655227354
1,2,10,25,100,100,125,25,0,33,26,30,11,0.2562962962962963,1.8430801116841369,1.8446617379097487,1.8638800655227354
1,2,11,25,100,100,125,25,1,23,33,36,7,0.2814814814814815,1.8483308643796306,1.8446617379097487,1.8638800655227354
1,2,12,25,100,100,125,25,1,31,29,30,9,0.27851851851851855,1.8510879187869813,1.85129023572348,1.8638800655227354
1,2,13,25,100,100,125,25,2,28,25,37,8,0.2696296296296296,1.855871938709211,1.8536477411102368,1.8638800655227354
1,2,14,25,100,100,125,25,0,34,34,21,11,0.2696296296296296,1.855871938709211,1.8536477411102368,1.8638800655227354
1,2,15,25,100,100,125,25,0,26,27,31,16,0.2696296296296296,1.8559538100227126,1.8549325230641731,1.8638800655227354
1,2,16,25,100,100,125,25,1,25,24,43,7,0.2696296296296296,1.855957133970173,1.8549325230641731,1.8638800655227354
1,2,17,25,100,100,125,25,1,34,22,34,9,0.2696296296296296,1.855957133970173,1.8549325230641731,1.8638800655227354
1,2,18,25,100,100,125,25,0,32,25,33,10,0.2696296296296296,1.855957133970173,1.8549325230641731,1.8638800655227354
1,2,19,25,100,100,125,25,2,22,36,28,12,0.2696296296296296,1.855957133970173,1.8549325230641731,1.8638800655227354
1,2,20,25,100,100,125,25,0,27,35,32,6,0.2696296296296296,1.855957133970173,1.8549325230641731,1.8638800655227354
1,2,21,25,100,100,125,25,1,29,36,27,7,0.26962962962962966,1.8561745527947386,1.8557344858583902,1.8638800655227354
1,2,22,25,100,100,125,25,0,36,38,20,6,0.26962962962962966,1.8561745527947386,1.8557344858583902,1.8638800655227354
1,2,23,25,100,100,125,25,0,32,26,33,9,0.2681481481481482,1.8573147686589906,1.8557697420057748,1.8638800655227354
1,2,24,25,100,100,125,25,0,31,30,31,8,0.2681481481481482,1.8573147686589906,1.8557697420057748,1.8638800655227354
1,2,25,25,100,100,125,25,1,25,34,30,10,0.2681481481481482,1.8573147686589906,1.8557697420057748,1.8638800655227354
1,2,26,25,100,100,125,25,3,30,28,32,7,0.2681481481481482,1.8573147686589906,1.8557697420057748,1.8638800655227354
1,2,27,25,100,100,125,25,0,35,27,27,11,0.2681481481481482,1.858487627851344,1.8576930279230768,1.8638800655227354
1,2,28,25,100,100,125,25,2,36,36,22,4,0.25925925925925924,1.860898977486861,1.8603679681034497,1.8638800655227354
1,2,29,25,100,100,125,25,1,34,30,31,4,0.25925925925925924,1.860898977486861,1.8603679681034497,1.8638800655227354
1,2,30,25,100,100,125,25,1,32,35,23,9,0.25925925925925924,1.860898977486861,1.8603679681034497,1.8638800655227354
1,2,31,25,100,100,125,25,0,37,22,29,12,0.25925925925925924,1.860898977486861,1.8603679681034497,1.8638800655227354
1,2,32,25,100,100,125,25,2,31,30,26,11,0.2622222222222222,1.8611412357357886,1.8604141877607967,1.8645174482321365
1,2,33,25,100,100,125,25,1,34,22,39,4,0.26370370370370366,1.8618398013521897,1.860537852484409,1.8759660178036448
1,2,34,25,100,100,125,25,0,25,32,26,17,0.26518518518518513,1.8622157619782194,1.8605841255374502,1.8759660178036448
1,2,35,25,100,100,125,25,0,24,38,33,5,0.2681481481481481,1.8646160624215404,1.863709384797723,1.8822709297384175
1,2,36,25,100,100,125,25,0,40,23,27,10,0.2711111111111111,1.8650838552715905,1.8640453119077085,1.8822709297384175
1,2,37,25,100,100,125,25,0,31,32,30,7,0.274074074074074,1.865837897480687,1.8640453119077085,1.8822709297384175
1,2,38,25,100,100,125,25,0,31,25,35,9,0.28444444444444444,1.8673339437591947,1.8662384885577465,1.8822709297384175
1,2,39,25,100,100,125,25,0,33,29,28,10,0.2962962962962963,1.873524296173787,1.8759209081181853,1.8822709297384175
1,2,40,25,100,100,125,25,1,33,37,25,4,0.2962962962962963,1.8739816024900162,1.8759209081181853,1.8822709297384175
1,2,41,25,100,100,125,25,3,27,35,29,6,0.2962962962962963,1.874728566042272,1.8759209081181853,1.8822709297384175
1,2,42,25,100,100,125,25,1,23,31,34,11,0.2962962962962963,1.8931890700259766,1.8956088906638668,1.8956982280101649
1,2,43,25,100,100,125,25,0,27,29,38,6,0.2962962962962963,1.8931890700259766,1.8956088906638668,1.8956982280101649
1,2,44,25,100,100,125,25,1,37,26,28,8,0.2962962962962963,1.8934661289689683,1.8956088906638668,1.8956982280101649
1,2,45,25,100,100,125,25,1,32,35,25,7,0.2962962962962963,1.8934661289689683,1.8956088906638668,1.8956982280101649
1,2,46,25,100,100,125,25,2,27,25,39,7,0.2962962962962963,1.8934661289689683,1.8956088906638668,1.8956982280101649
1,2,47,25,100,100,125,25,3,30,28,28,11,0.2962962962962963,1.8934661289689683,1.8956088906638668,1.8956982280101649
1,2,48,25,100,100,125,25,0,27,37,29,7,0.2962962962962963,1.8936662706899023,1.8956088906638668,1.8956982280101649
1,2,49,25,100,100,125,25,2,31,26,31,10,0.2962962962962963,1.8936662706899023,1.8956088906638668,1.8956982280101649
1,2,50,25,100,100,125,25,4,26,28,34,8,0.2962962962962963,1.8936662706899023,1.8956088906638668,1.8956982280101649
1,2,51,25,100,100,125,25,1,35,26,28,10,0.2962962962962963,1.8936662706899023,1.8956088906638668,1.8956982280101649
1,2,52,25,100,100,125,25,0,35,30,30,5,0.2962962962962963,1.8936662706899023,1.8956088906638668,1.8956982280101649
1,2,53,25,100,100,125,25,0,31,31,30,8,0.2962962962962963,1.8936662706899023,1.8956088906638668,1.8956982280101649
1,2,54,25,100,100,125,25,5,33,30,26,6,0.2962962962962963,1.8936662706899023,1.8956088906638668,1.8956982280101649
1,2,55,25,100,100,125,25,3,29,34,24,10,0.2962962962962963,1.8936662706899023,1.8956088906638668,1.8956982280101649
1,2,56,25,100,100,125,25,0,24,34,30,12,0.2962962962962963,1.8944178296190568,1.8956088906638668,1.8956982280101649
1,2,57,25,100,100,125,25,0,31,31,30,8,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,58,25,100,100,125,25,0,21,34,34,11,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,59,25,100,100,125,25,1,28,34,32,5,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,60,25,100,100,125,25,1,29,24,37,9,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,61,25,100,100,125,25,1,26,33,30,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,62,25,100,100,125,25,3,37,29,21,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,63,25,100,100,125,25,1,38,27,25,9,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,64,25,100,100,125,25,0,42,21,29,8,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,65,25,100,100,125,25,0,18,35,40,7,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,66,25,100,100,125,25,1,40,25,24,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,67,25,100,100,125,25,0,32,28,30,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,68,25,100,100,125,25,1,29,28,32,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,69,25,100,100,125,25,0,34,37,21,8,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,70,25,100,100,125,25,1,29,32,28,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,71,25,100,100,125,25,1,29,33,30,7,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,72,25,100,100,125,25,0,33,32,28,7,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,73,25,100,100,125,25,0,26,35,34,5,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,74,25,100,100,125,25,0,28,28,29,15,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,75,25,100,100,125,25,1,34,30,29,6,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,76,25,100,100,125,25,0,21,25,44,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,77,25,100,100,125,25,0,28,34,30,8,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,78,25,100,100,125,25,1,31,31,27,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,79,25,100,100,125,25,1,38,33,17,11,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,80,25,100,100,125,25,1,30,31,29,9,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,81,25,100,100,125,25,0,30,29,28,13,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,82,25,100,100,125,25,1,28,25,32,14,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,83,25,100,100,125,25,2,32,26,30,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,84,25,100,100,125,25,2,30,26,32,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,85,25,100,100,125,25,1,22,35,30,12,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,86,25,100,100,125,25,0,24,29,39,8,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,87,25,100,100,125,25,0,29,28,31,12,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,88,25,100,100,125,25,2,28,38,26,6,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,89,25,100,100,125,25,3,25,25,36,11,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,90,25,100,100,125,25,1,31,27,29,12,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,91,25,100,100,125,25,1,30,31,31,7,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,92,25,100,100,125,25,2,24,39,26,9,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,93,25,100,100,125,25,0,21,34,36,9,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,94,25,100,100,125,25,1,26,34,33,6,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,95,25,100,100,125,25,0,32,29,30,9,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,96,25,100,100,125,25,2,29,32,33,4,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,97,25,100,100,125,25,1,31,24,30,14,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,98,25,100,100,125,25,1,31,32,28,8,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,2,99,25,100,100,125,25,1,33,21,35,10,0.2962962962962963,1.8962891617271822,1.896380388986172,1.8964699814720283
1,4,0,25,100,100,200,25,2,32,26,30,10,0.09481481481481481,1.867182076686092,1.8665081154642056,1.9258268615213208
1,4,1,25,100,100,125,25,1,30,24,33,12,0.09777777777777777,1.8699420955056232,1.8665081154642056,1.9258268615213208
1,4,2,25,100,100,125,25,2,38,35,19,6,0.09037037037037036,1.8716363350901255,1.8665081154642056,1.9258268615213208
1,4,3,25,100,100,125,25,0,34,30,27,9,0.08888888888888888,1.872703959093454,1.8665081154642056,1.9258268615213208
1,4,4,25,100,100,125,25,0,34,22,34,10,0.08444444444444445,1.8755124955980964,1.8675141253522298,1.9258268615213208
1,4,5,25,100,100,125,25,1,40,29,23,7,0.08296296296296296,1.8831063144613622,1.8806742646918704,1.9258268615213208
1,4,6,25,100,100,125,25,0,36,23,27,14,0.08296296296296296,1.8997605762871566,1.8986602997601394,1.9258268615213208
1,4,7,25,100,100,125,25,3,30,23,29,15,0.07555555555555556,1.9158162424842888,1.9120745760106956,1.9436809191581774
1,4,8,25,100,100,125,25,1,32,38,23,6,0.08,1.91636183231486,1.914379413378697,1.9436809191581774
1,4,9,25,100,100,125,25,1,25,30,37,7,0.08592592592592592,1.917251355334802,1.914379413378697,1.9436809191581774
1,4,10,25,100,100,125,25,1,24,36,28,11,0.09333333333333332,1.9190177728980948,1.9145116664990716,1.9496082353328534
1,4,11,25,100,100,125,25,1,28,30,34,7,0.11555555555555558,1.9233291244976158,1.9198983446958837,1.9588640463858533
1,4,12,25,100,100,125,25,2,38,34,20,6,0.13333333333333333,1.9267902226111893,1.9229007540535585,1.9588640463858533
1,4,13,25,100,100,125,25,0,31,32,32,5,0.1348148148148148,1.93557836657251,1.9318824911803276,1.9596273568687366
1,4,14,25,100,100,125,25,1,36,26,29,8,0.15407407407407409,1.9603216686076659,1.9596273568687366,1.979589860134789
1,4,15,25,100,100,125,25,0,25,31,27,17,0.16,1.9632368813296501,1.9596273568687366,1.979589860134789
1,4,16,25,100,100,125,25,1,24,31,32,12,0.17185185185185184,1.9716090443153456,1.9690536104209384,1.9880757126019692
1,4,17,25,100,100,125,25,0,31,35,27,7,0.1748148148148148,1.9750397721377189,1.9745577716945588,1.9880757126019692
1,4,18,25,100,100,125,25,1,26,34,31,8,0.18666666666666668,1.9797090003240863,1.979589860134789,1.9888178186571803
1,4,19,25,100,100,125,25,0,28,29,29,14,0.19111111111111112,1.9876980508233262,1.9868539335501465,2.0118700562255274
1,4,20,25,100,100,125,25,1,38,28,27,6,0.19111111111111112,1.9876980508233262,1.9868539335501465,2.0118700562255274
1,4,21,25,100,100,125,25,1,39,28,27,5,0.19555555555555554,1.9931691815020245,1.988622778089622,2.013505861667274
1,4,22,25,100,100,125,25,1,38,25,25,11,0.20296296296296293,1.999002360437436,1.992995553841195,2.013505861667274
