run,iteration,row.num_cycle,row.n_selection,row.n_offspring,row.n_mutated,row.n_candidates,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,2,21,100,100,100,125,25,1,22,29,37,11,0.19111111111111112,1.8293484173388677,1.824055410745295,1.8587387813010308
1,2,22,100,100,100,125,25,1,34,30,24,11,0.19555555555555554,1.8294428763721096,1.8246702472621554,1.8587387813010308
1,2,23,100,100,100,125,25,1,30,38,24,7,0.1940740740740741,1.831246248515982,1.8257522171002922,1.8587387813010308
1,2,24,100,100,100,125,25,0,37,25,27,11,0.2,1.8336053255024263,1.8276226105873037,1.8587387813010308
1,2,25,100,100,100,125,25,0,27,33,29,11,0.20444444444444443,1.8384518568225579,1.8325418741042399,1.8587387813010308
1,2,26,100,100,100,125,25,0,39,26,26,9,0.21185185185185187,1.8469411291680655,1.853355106098263,1.8587387813010308
1,2,27,100,100,100,125,25,0,28,29,33,10,0.2237037037037037,1.8539442939336812,1.853355106098263,1.8587387813010308
1,2,28,100,100,100,125,25,1,28,33,27,11,0.2237037037037037,1.8539445371206318,1.8533566260167047,1.8587387813010308
1,2,29,100,100,100,125,25,1,24,34,31,10,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,30,100,100,100,125,25,0,29,23,35,13,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,31,100,100,100,125,25,0,33,31,30,6,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,32,100,100,100,125,25,0,22,28,36,14,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,33,100,100,100,125,25,0,30,26,36,8,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,34,100,100,100,125,25,2,27,26,36,9,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,35,100,100,100,125,25,2,25,35,33,5,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,36,100,100,100,125,25,0,29,33,28,10,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,37,100,100,100,125,25,0,36,36,22,6,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,38,100,100,100,125,25,1,33,29,31,6,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,39,100,100,100,125,25,0,28,37,24,11,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,40,100,100,100,125,25,1,30,26,32,11,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,41,100,100,100,125,25,2,25,32,31,10,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,42,100,100,100,125,25,0,20,40,27,13,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,43,100,100,100,125,25,0,32,30,23,15,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,44,100,100,100,125,25,1,26,32,30,11,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,45,100,100,100,125,25,0,24,33,35,8,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,46,100,100,100,125,25,1,35,31,31,2,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,47,100,100,100,125,25,0,39,25,26,10,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,48,100,100,100,125,25,1,28,27,33,11,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,49,100,100,100,125,25,2,32,34,28,4,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,50,100,100,100,125,25,2,25,28,35,10,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,51,100,100,100,125,25,0,30,21,36,13,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,52,100,100,100,125,25,1,26,30,31,12,0.2237037037037037,1.8809323536515554,1.8861501898723785,1.8861517097908203
1,2,53,100,100,100,125,25,4,38,28,23,7,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,54,100,100,100,125,25,0,25,36,30,9,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,55,100,100,100,125,25,3,31,33,26,7,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,56,100,100,100,125,25,1,35,25,32,7,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,57,100,100,100,125,25,0,27,32,30,11,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,58,100,100,100,125,25,1,34,30,27,8,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,59,100,100,100,125,25,1,28,27,35,9,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,60,100,100,100,125,25,1,37,30,29,3,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,61,100,100,100,125,25,1,31,32,31,5,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,62,100,100,100,125,25,0,29,33,28,10,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,63,100,100,100,125,25,0,45,22,27,6,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,64,100,100,100,125,25,1,25,30,33,11,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,65,100,100,100,125,25,1,31,31,28,9,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,66,100,100,100,125,25,1,32,20,37,10,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,67,100,100,100,125,25,0,28,29,34,9,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,68,100,100,100,125,25,1,33,28,31,7,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,69,100,100,100,125,25,0,30,24,31,15,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,70,100,100,100,125,25,1,31,29,32,7,0.2237037037037037,1.8809482642704012,1.8861501898723785,1.8861517097908203
1,2,71,100,100,100,125,25,0,28,23,33,16,0.2237037037037037,1.881154829818692,1.8861501898723785,1.8861517097908203
1,2,72,100,100,100,125,25,1,23,28,35,13,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,73,100,100,100,125,25,1,36,26,28,9,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,74,100,100,100,125,25,1,36,25,27,11,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,75,100,100,100,125,25,2,33,29,27,9,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,76,100,100,100,125,25,2,37,25,28,8,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,77,100,100,100,125,25,0,31,26,31,12,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,78,100,100,100,125,25,0,26,34,31,9,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,79,100,100,100,125,25,1,35,24,27,13,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,80,100,100,100,125,25,0,31,30,32,7,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,81,100,100,100,125,25,3,32,28,31,6,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,82,100,100,100,125,25,0,25,34,31,10,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,83,100,100,100,125,25,0,36,29,26,9,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,84,100,100,100,125,25,1,31,33,27,8,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,85,100,100,100,125,25,0,26,33,35,6,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,86,100,100,100,125,25,2,30,33,23,12,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,87,100,100,100,125,25,3,32,27,32,6,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,88,100,100,100,125,25,1,35,32,25,7,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,89,100,100,100,125,25,1,32,27,32,8,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,90,100,100,100,125,25,1,30,36,26,7,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,91,100,100,100,125,25,1,25,34,31,9,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,92,100,100,100,125,25,0,31,31,31,7,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,93,100,100,100,125,25,1,32,30,29,8,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,94,100,100,100,125,25,0,36,26,32,6,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,95,100,100,100,125,25,1,37,25,32,5,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,96,100,100,100,125,25,2,32,28,29,9,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,97,100,100,100,125,25,0,31,33,22,14,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,98,100,100,100,125,25,0,33,34,25,8,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,99,100,100,100,125,25,0,28,29,31,12,0.2222222222222222,1.8837256592832676,1.8861501898723785,1.8861517097908203
1,2,0,100,100,100,200,25,1,25,41,21,12,0.10222222222222221,1.7328528148618858,1.7203391847728031,1.8587387813010308
1,2,1,100,100,100,125,25,0,26,31,27,16,0.10962962962962962,1.7339265272107887,1.7203391847728031,1.8587387813010308
1,2,2,100,100,100,125,25,0,27,36,26,11,0.12148148148148148,1.734296829047281,1.7203391847728031,1.8587387813010308
1,2,3,100,100,100,125,25,1,25,44,22,8,0.12148148148148147,1.7366790240645613,1.7242538247827686,1.8587387813010308
1,2,4,100,100,100,125,25,3,28,29,29,11,0.1259259259259259,1.7372301293708876,1.7242538247827686,1.8587387813010308
1,2,5,100,100,100,125,25,1,30,34,26,9,0.12148148148148148,1.737649644539768,1.7242538247827686,1.8587387813010308
1,2,6,100,100,100,125,25,0,38,31,22,9,0.1274074074074074,1.7390190174029998,1.7253991332326066,1.8587387813010308
1,2,7,100,100,100,125,25,2,31,31,28,8,0.1437037037037037,1.743201759117253,1.730968395070513,1.8587387813010308
1,2,8,100,100,100,125,25,1,31,33,28,7,0.16296296296296295,1.7483443282693225,1.7468784656195728,1.8587387813010308
1,2,9,100,100,100,125,25,1,40,28,25,6,0.1837037037037037,1.7550806823222609,1.7468784656195728,1.8587387813010308
1,2,10,100,100,100,125,25,1,23,38,29,9,0.18814814814814812,1.7608707255596046,1.7559352977807436,1.8587387813010308
1,2,11,100,100,100,125,25,1,31,32,25,11,0.1925925925925926,1.7649129796042324,1.7562332014965705,1.8587387813010308
1,2,12,100,100,100,125,25,0,34,28,31,7,0.19555555555555554,1.7706023868006577,1.765247202752904,1.8587387813010308
1,2,13,100,100,100,125,25,0,36,27,23,14,0.1985185185185185,1.7746385635169322,1.770868573595526,1.8587387813010308
1,2,14,100,100,100,125,25,1,33,31,30,5,0.20148148148148148,1.7774057205911662,1.773866346557479,1.8587387813010308
1,2,15,100,100,100,125,25,1,25,30,34,10,0.20296296296296298,1.781938152493009,1.7763987205787504,1.8587387813010308
1,2,16,100,100,100,125,25,2,39,20,25,14,0.1940740740740741,1.7951560918379101,1.7880277210134221,1.8587387813010308
1,2,17,100,100,100,125,25,0,34,26,33,7,0.1940740740740741,1.803180976879794,1.7986577092656602,1.8587387813010308
1,2,18,100,100,100,125,25,1,26,32,28,13,0.19111111111111112,1.8196364287645963,1.8123772292889906,1.8587387813010308
1,2,19,100,100,100,125,25,2,32,22,36,8,0.18962962962962965,1.8245312481631573,1.823534347736147,1.8587387813010308
1,2,20,100,100,100,125,25,1,29,26,32,12,0.18814814814814818,1.828676780966508,1.824055410745295,1.8587387813010308
