run,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness
1,0:03:14.371097,194.37109684944153,2,58,57,25,100,200,200,25,3,57,51,76,13,0.5555555555555556,1.7166591000277234,1.7166590296942426,1.7166615032870007
1,0:03:14.371097,194.37109684944153,2,59,58,25,100,200,200,25,2,51,75,53,19,0.5555555555555556,1.716659128637953,1.7166590296942426,1.7166615032870007
1,0:03:14.371097,194.37109684944153,2,60,59,25,100,200,200,25,1,62,59,59,19,0.5555555555555556,1.7166594397741985,1.7166590296942426,1.7166618609148694
1,0:03:14.371097,194.37109684944153,2,61,60,25,100,200,200,25,4,53,61,61,21,0.5555555555555556,1.716661589117689,1.7166615032870007,1.7166618609148694
1,0:03:14.371097,194.37109684944153,2,62,61,25,100,200,200,25,1,64,46,65,24,0.5540740740740742,1.716662001581831,1.7166618609148694,1.716666450472517
1,0:03:14.371097,194.37109684944153,2,63,62,25,100,200,200,25,4,64,57,55,20,0.5466666666666667,1.7166629624087049,1.7166618609148694,1.716666450472517
1,0:03:14.371097,194.37109684944153,2,64,63,25,100,200,200,25,2,77,55,52,14,0.517037037037037,1.7166666710097027,1.716666450472517,1.7166713082510663
1,0:03:14.371097,194.37109684944153,2,65,64,25,100,200,200,25,1,56,62,58,23,0.5125925925925925,1.7166673457342816,1.7166667782980634,1.7166713082510663
1,0:03:14.371097,194.37109684944153,2,66,65,25,100,200,200,25,2,70,59,48,21,0.4977777777777777,1.716669315071745,1.7166713082510663,1.7166713082510663
1,0:03:14.371097,194.37109684944153,2,67,66,25,100,200,200,25,2,55,69,55,19,0.48148148148148145,1.7166713082510663,1.7166713082510663,1.7166713082510663
1,0:03:14.371097,194.37109684944153,2,68,67,25,100,200,200,25,3,62,61,59,15,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,69,68,25,100,200,200,25,5,72,48,49,26,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,70,69,25,100,200,200,25,4,50,69,65,12,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,71,70,25,100,200,200,25,3,65,55,65,12,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,72,71,25,100,200,200,25,2,58,66,57,17,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,73,72,25,100,200,200,25,3,55,64,61,17,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,74,73,25,100,200,200,25,2,60,67,51,20,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,75,74,25,100,200,200,25,2,63,64,50,21,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,76,75,25,100,200,200,25,0,53,52,72,23,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,77,76,25,100,200,200,25,4,69,53,52,22,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,78,77,25,100,200,200,25,0,72,53,62,13,0.48148148148148145,1.7179756694503348,1.7179756694503348,1.7179756694503348
1,0:03:14.371097,194.37109684944153,2,79,78,25,100,200,200,25,5,63,64,52,16,0.48148148148148145,1.7182299530881329,1.7179756694503348,1.722917862366916
1,0:03:14.371097,194.37109684944153,2,80,79,25,100,200,200,25,0,61,75,48,16,0.48148148148148145,1.7188517122059983,1.7179756694503348,1.722917862366916
1,0:03:14.371097,194.37109684944153,2,81,80,25,100,200,200,25,2,54,64,63,17,0.48,1.7205194556229162,1.7193905674787056,1.722917862366916
1,0:03:14.371097,194.37109684944153,2,82,81,25,100,200,200,25,0,55,75,51,19,0.48,1.7229545175266727,1.722917862366916,1.7238342413608407
1,0:03:14.371097,194.37109684944153,2,83,82,25,100,200,200,25,1,71,52,51,25,0.47111111111111115,1.723174448485215,1.722917862366916,1.7238342413608407
1,0:03:14.371097,194.37109684944153,2,84,83,25,100,200,200,25,3,57,68,56,16,0.4444444444444444,1.7238349005882119,1.7238342413608407,1.7238424668018197
1,0:03:14.371097,194.37109684944153,2,85,84,25,100,200,200,25,2,58,57,67,16,0.4429629629629629,1.7238729522788592,1.7238342413608407,1.724728283365713
1,0:03:14.371097,194.37109684944153,2,86,85,25,100,200,200,25,1,63,63,61,12,0.4414814814814815,1.7239196686786957,1.7238424668018197,1.724728283365713
1,0:03:14.371097,194.37109684944153,2,87,86,25,100,200,200,25,0,68,58,57,17,0.4192592592592592,1.7246469633742507,1.724728283365713,1.7306544917412685
1,0:03:14.371097,194.37109684944153,2,88,87,25,100,200,200,25,1,63,61,58,17,0.40148148148148144,1.725679553497565,1.7247283429703577,1.7306544917412685
1,0:03:14.371097,194.37109684944153,2,89,88,25,100,200,200,25,2,67,58,57,16,0.394074074074074,1.7268701297883837,1.724741426189886,1.7306544917412685
1,0:03:14.371097,194.37109684944153,2,90,89,25,100,200,200,25,2,63,60,55,20,0.37333333333333335,1.7306628675396254,1.7306544917412685,1.730863886700193
1,0:03:14.371097,194.37109684944153,2,91,90,25,100,200,200,25,1,52,62,68,17,0.37333333333333335,1.7306634612018874,1.7306544917412685,1.730863886700193
1,0:03:14.371097,194.37109684944153,2,92,91,25,100,200,200,25,1,46,56,77,20,0.3911111111111111,1.7307148592091162,1.7306544917412685,1.730863886700193
1,0:03:14.371097,194.37109684944153,2,93,92,25,100,200,200,25,2,53,64,65,16,0.4444444444444444,1.7308644779782691,1.730863886700193,1.730880099163572
1,0:03:14.371097,194.37109684944153,2,94,93,25,100,200,200,25,1,57,55,66,21,0.4444444444444444,1.7308644779782691,1.730863886700193,1.730880099163572
1,0:03:14.371097,194.37109684944153,2,95,94,25,100,200,200,25,0,62,63,53,22,0.4444444444444444,1.7308644779782691,1.730863886700193,1.730880099163572
1,0:03:14.371097,194.37109684944153,2,96,95,25,100,200,200,25,2,67,47,65,19,0.4444444444444444,1.7308644779782691,1.730863886700193,1.730880099163572
1,0:03:14.371097,194.37109684944153,2,97,96,25,100,200,200,25,5,50,55,67,23,0.4444444444444444,1.7308644779782691,1.730863886700193,1.730880099163572
1,0:03:14.371097,194.37109684944153,2,98,97,25,100,200,200,25,2,64,57,58,19,0.4444444444444444,1.7308644779782691,1.730863886700193,1.730880099163572
1,0:03:14.371097,194.37109684944153,2,99,98,25,100,200,200,25,2,51,66,52,29,0.4444444444444444,1.7308644779782691,1.730863886700193,1.730880099163572
1,0:03:14.371097,194.37109684944153,2,100,99,25,100,200,200,25,1,58,65,54,22,0.4444444444444444,1.7308644779782691,1.730863886700193,1.730880099163572
1,0:03:14.371097,194.37109684944153,2,1,0,100,100,200,200,25,3,64,68,51,14,0.1748148148148148,1.4769904260691147,1.4515647562042444,1.577390674578597
1,0:03:14.371097,194.37109684944153,2,2,1,25,100,200,200,25,2,58,67,56,17,0.36,1.5172800947945777,1.5108930362415436,1.577390674578597
1,0:03:14.371097,194.37109684944153,2,3,2,25,100,200,200,25,2,61,57,63,17,0.3777777777777777,1.5392522087573786,1.5345137006520635,1.577390674578597
1,0:03:14.371097,194.37109684944153,2,4,3,25,100,200,200,25,2,56,55,68,19,0.38666666666666666,1.5481153573144224,1.5406537213333664,1.577390674578597
1,0:03:14.371097,194.37109684944153,2,5,4,25,100,200,200,25,0,51,69,65,15,0.39111111111111113,1.562104411072339,1.558214798626505,1.5897500321043152
1,0:03:14.371097,194.37109684944153,2,6,5,25,100,200,200,25,3,54,61,65,17,0.40148148148148144,1.5782421554205985,1.5803779099533195,1.5932540489842641
1,0:03:14.371097,194.37109684944153,2,7,6,25,100,200,200,25,2,72,61,52,13,0.4162962962962963,1.5933273458691293,1.5932540489842641,1.6007590706299166
1,0:03:14.371097,194.37109684944153,2,8,7,25,100,200,200,25,0,61,62,57,20,0.4162962962962963,1.5933273458691293,1.5932540489842641,1.6007590706299166
1,0:03:14.371097,194.37109684944153,2,9,8,25,100,200,200,25,1,59,60,57,23,0.4162962962962963,1.5933273458691293,1.5932540489842641,1.6007590706299166
1,0:03:14.371097,194.37109684944153,2,10,9,25,100,200,200,25,1,52,55,71,21,0.41925925925925916,1.593904191663738,1.5932540489842641,1.602464833040401
1,0:03:14.371097,194.37109684944153,2,11,10,25,100,200,200,25,2,58,61,61,18,0.4266666666666666,1.5957683216395209,1.5937240084142599,1.6063582166696952
1,0:03:14.371097,194.37109684944153,2,12,11,25,100,200,200,25,1,54,63,66,16,0.43111111111111106,1.6051694834837673,1.6035275238940083,1.6169703506693551
1,0:03:14.371097,194.37109684944153,2,13,12,25,100,200,200,25,0,54,62,70,14,0.4533333333333333,1.611141191131689,1.6106295005117226,1.6196343741268655
1,0:03:14.371097,194.37109684944153,2,14,13,25,100,200,200,25,3,66,60,54,17,0.4414814814814815,1.6187101592294808,1.6173048408729098,1.6382655312199226
1,0:03:14.371097,194.37109684944153,2,15,14,25,100,200,200,25,1,55,74,48,22,0.44888888888888884,1.630309964464194,1.6258858404261605,1.6443237211997856
1,0:03:14.371097,194.37109684944153,2,16,15,25,100,200,200,25,3,55,58,67,17,0.46370370370370373,1.640640725618629,1.63885082726186,1.6468873636541366
1,0:03:14.371097,194.37109684944153,2,17,16,25,100,200,200,25,3,46,67,64,20,0.43407407407407406,1.6436568674077052,1.643816217234894,1.6468873636541366
1,0:03:14.371097,194.37109684944153,2,18,17,25,100,200,200,25,3,61,64,54,18,0.42074074074074075,1.647606593692266,1.6468873636541366,1.652064693352503
1,0:03:14.371097,194.37109684944153,2,19,18,25,100,200,200,25,2,65,42,69,22,0.4666666666666666,1.654083753095865,1.652064693352503,1.6650191082724204
1,0:03:14.371097,194.37109684944153,2,20,19,25,100,200,200,25,3,65,59,58,15,0.49629629629629624,1.6623455373506713,1.6615401697988041,1.6658308573132619
1,0:03:14.371097,194.37109684944153,2,21,20,25,100,200,200,25,2,59,71,46,22,0.4977777777777777,1.6653610026064833,1.6650191082724204,1.6699705191022023
1,0:03:14.371097,194.37109684944153,2,22,21,25,100,200,200,25,2,67,48,59,24,0.48740740740740734,1.6665874218795245,1.6658308573132619,1.6705104945695233
1,0:03:14.371097,194.37109684944153,2,23,22,25,100,200,200,25,0,62,59,61,18,0.4948148148148148,1.6680394939924532,1.6681643065934926,1.6705104945695233
1,0:03:14.371097,194.37109684944153,2,24,23,25,100,200,200,25,5,56,67,56,16,0.5081481481481481,1.670089356960163,1.66997048929988,1.6705104945695233
1,0:03:14.371097,194.37109684944153,2,25,24,25,100,200,200,25,4,61,61,56,18,0.5896296296296296,1.6705832469451467,1.6705104945695233,1.6742574716042462
1,0:03:14.371097,194.37109684944153,2,26,25,25,100,200,200,25,1,60,55,67,17,0.597037037037037,1.6709646212355347,1.6705104945695233,1.6742574716042462
1,0:03:14.371097,194.37109684944153,2,27,26,25,100,200,200,25,2,61,63,52,22,0.6088888888888889,1.6724266749271408,1.6729918762936815,1.6742679322194043
1,0:03:14.371097,194.37109684944153,2,28,27,25,100,200,200,25,2,63,59,57,19,0.6296296296296297,1.6742591453026716,1.6742574716042462,1.6742679322194043
1,0:03:14.371097,194.37109684944153,2,29,28,25,100,200,200,25,4,68,53,55,20,0.6296296296296297,1.6745095333443318,1.6742679322194043,1.6803706942312229
1,0:03:14.371097,194.37109684944153,2,30,29,25,100,200,200,25,0,69,59,57,15,0.6296296296296297,1.6745135685787833,1.6742679322194043,1.6803706942312229
1,0:03:14.371097,194.37109684944153,2,31,30,25,100,200,200,25,3,70,50,59,18,0.6296296296296297,1.675247926578124,1.6742679620217267,1.6803706942312229
1,0:03:14.371097,194.37109684944153,2,32,31,25,100,200,200,25,2,59,54,59,26,0.6296296296296297,1.6803706942312229,1.6803706942312229,1.6803706942312229
1,0:03:14.371097,194.37109684944153,2,33,32,25,100,200,200,25,2,56,65,60,17,0.6296296296296297,1.6803710518590915,1.6803706942312229,1.680375164579581
1,0:03:14.371097,194.37109684944153,2,34,33,25,100,200,200,25,2,63,59,63,13,0.6296296296296297,1.6803747894864125,1.6803706942312229,1.6804319186037449
1,0:03:14.371097,194.37109684944153,2,35,34,25,100,200,200,25,1,69,55,50,25,0.6296296296296297,1.6803855398363319,1.680375164579581,1.6804319186037449
1,0:03:14.371097,194.37109684944153,2,36,35,25,100,200,200,25,3,53,62,67,15,0.6296296296296297,1.6817767335459135,1.6804319186037449,1.7095035538560643
1,0:03:14.371097,194.37109684944153,2,37,36,25,100,200,200,25,4,72,61,50,13,0.6281481481481481,1.6890925010234696,1.6804319186037449,1.7095035538560643
1,0:03:14.371097,194.37109684944153,2,38,37,25,100,200,200,25,3,59,65,50,23,0.6296296296296297,1.7095035538560643,1.7095035538560643,1.7095035538560643
1,0:03:14.371097,194.37109684944153,2,39,38,25,100,200,200,25,2,69,61,53,15,0.6296296296296297,1.7095035538560643,1.7095035538560643,1.7095035538560643
1,0:03:14.371097,194.37109684944153,2,40,39,25,100,200,200,25,5,59,55,59,22,0.6296296296296297,1.7096513844332457,1.7095035538560643,1.7131993182856053
1,0:03:14.371097,194.37109684944153,2,41,40,25,100,200,200,25,3,64,60,55,18,0.6281481481481481,1.7104454509134301,1.7095035538560643,1.7131993182856053
1,0:03:14.371097,194.37109684944153,2,42,41,25,100,200,200,25,0,71,50,59,20,0.6296296296296297,1.713199469681403,1.7131993182856053,1.7132031031805486
1,0:03:14.371097,194.37109684944153,2,43,42,25,100,200,200,25,0,74,54,59,13,0.6296296296296297,1.7133123275000066,1.7131993182856053,1.7160207637506932
1,0:03:14.371097,194.37109684944153,2,44,43,25,100,200,200,25,2,69,51,62,16,0.6281481481481481,1.7137659164625614,1.7131993182856053,1.7160207637506932
1,0:03:14.371097,194.37109684944153,2,45,44,25,100,200,200,25,1,60,52,71,16,0.6266666666666667,1.715795746679923,1.7160203167158574,1.7160254129129857
1,0:03:14.371097,194.37109684944153,2,46,45,25,100,200,200,25,2,57,49,76,16,0.6177777777777778,1.7160222133356542,1.7160207637506932,1.7160254129129857
1,0:03:14.371097,194.37109684944153,2,47,46,25,100,200,200,25,1,71,53,64,11,0.5925925925925926,1.7160253306585758,1.7160254129129857,1.7160257705408544
1,0:03:14.371097,194.37109684944153,2,48,47,25,100,200,200,25,2,51,64,65,18,0.5925925925925926,1.7160505489679792,1.7160254129129857,1.7166527414042188
1,0:03:14.371097,194.37109684944153,2,49,48,25,100,200,200,25,0,62,49,75,14,0.5925925925925926,1.7161260012403972,1.7160257705408544,1.7166527414042188
1,0:03:14.371097,194.37109684944153,2,50,49,25,100,200,200,25,1,63,62,54,20,0.5925925925925926,1.7165775788103748,1.7166527414042188,1.716653069229765
1,0:03:14.371097,194.37109684944153,2,51,50,25,100,200,200,25,0,62,72,50,16,0.5925925925925926,1.7166529392916394,1.716652830811186,1.7166535162646008
1,0:03:14.371097,194.37109684944153,2,52,51,25,100,200,200,25,4,59,65,56,16,0.5925925925925926,1.7166531622130108,1.716653069229765,1.7166535162646008
1,0:03:14.371097,194.37109684944153,2,53,52,25,100,200,200,25,2,50,68,63,17,0.5925925925925926,1.7166535305697155,1.7166535162646008,1.7166538738924695
1,0:03:14.371097,194.37109684944153,2,54,53,25,100,200,200,25,3,66,54,59,18,0.591111111111111,1.7166538083273601,1.7166535162646008,1.716658672066374
1,0:03:14.371097,194.37109684944153,2,55,54,25,100,200,200,25,2,58,59,62,19,0.5866666666666667,1.716654584379835,1.7166538738924695,1.716658672066374
1,0:03:14.371097,194.37109684944153,2,56,55,25,100,200,200,25,2,58,62,65,13,0.5718518518518518,1.7166566884237957,1.716658672066374,1.7166615032870007
1,0:03:14.371097,194.37109684944153,2,57,56,25,100,200,200,25,3,58,70,47,22,0.5555555555555556,1.716658885451002,1.716658672066374,1.7166615032870007
1,0:03:14.371097,194.37109684944153,2,58,57,25,100,200,200,25,3,57,51,76,13,0.5555555555555556,1.7166591000277234,1.7166590296942426,1.7166615032870007
1,0:03:14.371097,194.37109684944153,2,59,58,25,100,200,200,25,2,51,75,53,19,0.5555555555555556,1.716659128637953,1.7166590296942426,1.7166615032870007
1,0:03:14.371097,194.37109684944153,2,60,59,25,100,200,200,25,1,62,59,59,19,0.5555555555555556,1.7166594397741985,1.7166590296942426,1.7166618609148694
1,0:03:14.371097,194.37109684944153,2,61,60,25,100,200,200,25,4,53,61,61,21,0.5555555555555556,1.716661589117689,1.7166615032870007,1.7166618609148694
1,0:03:14.371097,194.37109684944153,2,62,61,25,100,200,200,25,1,64,46,65,24,0.5540740740740742,1.716662001581831,1.7166618609148694,1.716666450472517
1,0:03:14.371097,194.37109684944153,2,63,62,25,100,200,200,25,4,64,57,55,20,0.5466666666666667,1.7166629624087049,1.7166618609148694,1.716666450472517
1,0:03:14.371097,194.37109684944153,2,64,63,25,100,200,200,25,2,77,55,52,14,0.517037037037037,1.7166666710097027,1.716666450472517,1.7166713082510663
1,0:03:14.371097,194.37109684944153,2,65,64,25,100,200,200,25,1,56,62,58,23,0.5125925925925925,1.7166673457342816,1.7166667782980634,1.7166713082510663
1,0:03:14.371097,194.37109684944153,2,66,65,25,100,200,200,25,2,70,59,48,21,0.4977777777777777,1.716669315071745,1.7166713082510663,1.7166713082510663
1,0:03:14.371097,194.37109684944153,2,67,66,25,100,200,200,25,2,55,69,55,19,0.48148148148148145,1.7166713082510663,1.7166713082510663,1.7166713082510663
