experiment,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.mask,run.duration,run.duration_sec,run.short_name,run.full_name,run.no,wrapper.type,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.edit_rate,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.mutator.p_transp,gen.mutator.p_none,gen.recombiner.type,gen.recombiner.recombination_rate,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,EvolutionaryStrategy,13,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,2
1,EvolutionaryStrategy,23,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,3
1,EvolutionaryStrategy,22,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,4
1,EvolutionaryStrategy,21,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,5
1,EvolutionaryStrategy,20,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,6
1,EvolutionaryStrategy,19,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,7
1,EvolutionaryStrategy,18,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,8
1,EvolutionaryStrategy,17,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,9
1,EvolutionaryStrategy,16,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,10
1,EvolutionaryStrategy,15,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,11
1,EvolutionaryStrategy,14,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,12
1,EvolutionaryStrategy,12,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,13
1,EvolutionaryStrategy,49,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,14
1,EvolutionaryStrategy,11,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,15
1,EvolutionaryStrategy,10,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,16
1,EvolutionaryStrategy,9,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,17
1,EvolutionaryStrategy,8,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,18
1,EvolutionaryStrategy,7,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,19
1,EvolutionaryStrategy,6,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,20
1,EvolutionaryStrategy,5,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,21
1,EvolutionaryStrategy,4,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,22
1,EvolutionaryStrategy,3,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,23
1,EvolutionaryStrategy,2,0.0004928132984787226,2.322456602077226,0.9807692307692307,0.9856107487072648,0.022743279333289883,0.3333333432674408,1,0,0,1,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056040,0.056040048599243164,EGW_ES_EGW_FI_ES_TPC_DDM_FSR_IM,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_FactualInitiator_ElitismSelector_TwoPointCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,2,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,50,1000,200,1000,FactualInitiator,ElitismSelector,TwoPointCrosser,,DataDistributionMutator,0.4,0.01,0.5,0.5,0.01,0.020000000000000018,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,1,24
